lemma_id,lemma,in_model,nhg_infinitive,reason,spellings_tried
297,bîzen,no,,no modern infinitive found in DWDS or UniMorph,bîzen|bîzen/abe<.+|bîzen/abe>+|bîzen/ane>+|durh-bîzen|en-bîzen|er-bîzen|ge-bîzen|in-bîzen|ver-bîzen|zer-bîzen
299,bûwen,no,,no modern infinitive found in DWDS or UniMorph,bûwen|bûwen/ane>+|bûwen/in>+|bûwen/inne>+|bûwen/wider(e)>+|bûwen/în>+|durh-bûwen|er-bûwen|ge-bûwen|ver-bûwen|über-bûwen
302,dièzen,no,,no modern infinitive found in DWDS or UniMorph,dièzen|dièzen/ûz+|dièzen/ûz>+|er-dièzen|ver-dièzen
232,drièzen,no,,no modern infinitive found in DWDS or UniMorph,be-drièzen|drièzen|er-drièzen|ver-drièzen
233,durfen,no,,no modern infinitive found in DWDS or UniMorph,be-durfen|durfen|ge-durfen
234,dwahen,no,,no modern infinitive found in DWDS or UniMorph,be-dwahen|dwahen|dwahen/abe>+|ge-dwahen
310,dërben,no,,no modern infinitive found in DWDS or UniMorph,dërben|ver-dërben
311,enphâhen,no,,no modern infinitive found in DWDS or UniMorph,enphâhen
371,glîzen,no,,no modern infinitive found in DWDS or UniMorph,glîzen|ver-glîzen
375,grînen,no,,no modern infinitive found in DWDS or UniMorph,grînen|grînen/ane+|grînen/ane<.+
326,hëlen,no,,no modern infinitive found in DWDS or UniMorph,er-hël(e)n|er-hëlen|ge-hël(e)n|ge-hëlen|hël(e)n|hëlen|ver-hël(e)n|ver-hëlen
238,jëhen,no,,no modern infinitive found in DWDS or UniMorph,be-jëhen|er-jëhen|ge-jëhen|ge-jëhen/mit(e)>+|jëhen|jëhen/mit(e)<.+|jëhen/mite+|jëhen/nâh>+|jëhen/vor(e)>+|ver-jëhen
139,klimmen,no,klimmen,no UniMorph entry for the resolved infinitive 'klimmen',ge-klimmen|klimmen|klimmen/ûf<.+|klimmen/ûf>+|ver-klimmen
383,klièben,no,,no modern infinitive found in DWDS or UniMorph,klièben|klièben/abe>+|zer-klièben
239,klîben,no,,no modern infinitive found in DWDS or UniMorph,be-klîben|klîben
331,krîgen,no,,no modern infinitive found in DWDS or UniMorph,er-krîgen|krîgen
240,lîben,no,,no modern infinitive found in DWDS or UniMorph,be-lîben|be-lîben/bî<+|be-lîben/bî<.+|be-lîben/bî>+|be-lîben/wider(e)+|be-lîben/âne>+|be-lîben/über(e)+|be-lîben/über(e)>+|ent-lîben|ge-lîben|lîben|ver-lîben
241,lûchen,no,,no modern infinitive found in DWDS or UniMorph,be-lûchen|ent-lûchen|ge-lûchen|lûchen|lûchen/zuo<.+|lûchen/zuo>+|ver-lûchen|zer-lûchen
351,mügen,no,,no modern infinitive found in DWDS or UniMorph,ge-mügen|mügen|ver-mügen|über-mügen
399,niuwen,no,,no modern infinitive found in DWDS or UniMorph,niuwen|zer-niuwen
352,nièzen,no,,no modern infinitive found in DWDS or UniMorph,ge-nièzen|nièzen
353,nîden,no,,no modern infinitive found in DWDS or UniMorph,ge-nîden|nîden|nîden/ane>+|ver-nîden
354,nîgen,no,,no modern infinitive found in DWDS or UniMorph,ge-nîgen|ge-nîgen/wider(e)>+|nîgen|nîgen/nider(e)>+
314,quëden,no,,no modern infinitive found in DWDS or UniMorph,ent-quëden|quëden|quëden/zuo<.+|quëden/zuo>+
245,riuwen,no,,no modern infinitive found in DWDS or UniMorph,be-riuwen|ge-riuwen|riuwen
249,rîsen,no,,no modern infinitive found in DWDS or UniMorph,be-rîsen|ge-rîsen|rîsen|rîsen/abe>+|rîsen/ûf>+|rîsen/ûz<.+|rîsen/ûz>+
250,rîzen,no,,no modern infinitive found in DWDS or UniMorph,be-rîzen|rîzen|rîzen/abe<.+|rîzen/abe>+|rîzen/umbe>+|ver-rîzen|zer-rîzen
251,schinten,no,,no modern infinitive found in DWDS or UniMorph,be-schinten|ge-schinten|schinten|schinten/abe>+|zer-schinten
307,schièzen,no,,no modern infinitive found in DWDS or UniMorph,durh-schièzen|er-schièzen|ge-schièzen|schièzen|schièzen/ane<.+|schièzen/durh<.+|schièzen/nider(e)+|schièzen/vür(e)<.+|ver-schièzen|über-schièzen
252,schrôten,no,,no modern infinitive found in DWDS or UniMorph,be-schrôten|er-schrôten|schrôten|schrôten/abe+|schrôten/nider(e)<.+/ûf<+|schrôten/nider(e)>+|schrôten/nider(e)>+/ûf>.+|ver-schrôten|zer-schrôten
253,schèpfen,no,,no modern infinitive found in DWDS or UniMorph,be-schèpfen|er-schèpfen|ge-schèpfen|schèpfen
188,sein,no,sein,no UniMorph entry for the resolved infinitive 'sein',sein
340,slinten,no,,no modern infinitive found in DWDS or UniMorph,er-slinten|slinten|ver-slinten
357,slièfen,no,,no modern infinitive found in DWDS or UniMorph,ge-slièfen|slièfen|slièfen/în>+|unter-slièfen
256,slièzen,no,,no modern infinitive found in DWDS or UniMorph,be-slièzen|be-slièzen/umbe>+|be-slièzen/vor(e)+|be-slièzen/vor(e)<+|be-slièzen/vor(e)>+|ent-slièzen|ent-slièzen/ûf>+|slièzen|slièzen/zuo<.+|slièzen/zuo>+|slièzen/în>+|slièzen/ûf+|slièzen/ûf<+|slièzen/ûf<.+|slièzen/ûf>+|umbe-slièzen|ver-slièzen|zer-slièzen|în-slièzen
257,slîfen,no,,no modern infinitive found in DWDS or UniMorph,be-slîfen|ent-slîfen|ge-slîfen|slîfen|slîfen/abe>+|slîfen/abe>.+|slîfen/nider(e)>+|unter-slîfen|zer-slîfen
258,slîzen,no,,no modern infinitive found in DWDS or UniMorph,be-slîzen|ent-slîzen|slîzen|slîzen/abe+|slîzen/ûz+|slîzen/ûz<.+|ver-slîzen|zer-slîzen
422,smërzen,no,,no modern infinitive found in DWDS or UniMorph,smërzen|ver-smërzen
261,spîwen,no,,no modern infinitive found in DWDS or UniMorph,be-spîwen|spîwen|spîwen/ane<.+|spîwen/ane>+|spîwen/ûz+|spîwen/ûz<+|spîwen/ûz<.+|spîwen/ûz>+|ver-spîwen
263,stôzen,no,,no modern infinitive found in DWDS or UniMorph,be-stôzen|durh-stôzen|er-stôzen|ge-stôzen|ge-stôzen/nider(e)>+|stôzen|stôzen/abe>.+|stôzen/ane<+|stôzen/ane<.+|stôzen/ane>+|stôzen/nider(e)+|stôzen/nider(e)>+|stôzen/wider(e)>+|stôzen/zuo+|stôzen/zuo>+|stôzen/în<.+|stôzen/în>+|stôzen/ûf<.+|stôzen/ûf>+|stôzen/ûz<+|stôzen/ûz<.+|stôzen/ûz>+|unter-stôzen|ver-stôzen|ver-stôzen/ûz>+|wider-stôzen|zer-stôzen
435,swëlhen,no,,no modern infinitive found in DWDS or UniMorph,swëlhen|ver-swëlhen
317,swëllen,no,,no modern infinitive found in DWDS or UniMorph,ent-swëllen|ge-swëllen|swëllen|ver-swëllen|zer-swëllen
318,swëren,no,,no modern infinitive found in DWDS or UniMorph,ent-swër(e)n|ent-swëren|er-swër(e)n|er-swëren|ge-swër(e)n|ge-swër(e)n/ûz>+|ge-swëren|swër(e)n|swëren
264,swîchen,no,,no modern infinitive found in DWDS or UniMorph,be-swîchen|ge-swîchen|swîchen
436,swînen,no,,no modern infinitive found in DWDS or UniMorph,swînen|ver-swînen
266,sèben,no,,no modern infinitive found in DWDS or UniMorph,be-sèben|ent-sèben|sèben
267,sîgen,no,,no modern infinitive found in DWDS or UniMorph,be-sîgen|sîgen|sîgen/nider(e)>+|sîgen/zuo<+|sîgen/zuo>+|sîgen/ûz+
360,sîn,no,,no modern infinitive found in DWDS or UniMorph,ge-sîn|sîn|unter-sîn
268,sûfen,no,,no modern infinitive found in DWDS or UniMorph,be-sûfen|sûfen
14,tun,no,tun,no UniMorph entry for the resolved infinitive 'tun',abtun|antun|be-tuon|ent-tuon|ent-tuon/ûf<+|ge-tuon|ge-tuon/ane<.+|ge-tuon/ane>+|ge-tuon/zuo>+|ge-tuon/ûf<.+|ge-tuon/ûf>+|ge-tuon/ûz+|misse-tuon|tun|tuon|tuon/<+ûf|tuon/abe+|tuon/abe<.+|tuon/abe>+|tuon/abe>.+|tuon/ane+|tuon/ane<+|tuon/ane<.+|tuon/ane>+|tuon/ane>.+|tuon/hin(e)+|tuon/hin(e)>+|tuon/mit(e)>+|tuon/nâch+|tuon/nâh+|tuon/umbe>+|tuon/unter>+|tuon/unter>.+|tuon/vor(e)+|tuon/vor(e)<.+|tuon/vor(e)>+|tuon/wider(e)+|tuon/wider(e)>+|tuon/zuo<+|tuon/zuo<.+|tuon/zuo>+|tuon/zuo>.+|tuon/în<+|tuon/în<.+|tuon/în>+|tuon/ûf+|tuon/ûf<+|tuon/ûf<.+|tuon/ûf<.+/zuo<.+|tuon/ûf>+|tuon/ûf>.+/zuo>.+|tuon/ûz+|tuon/ûz<.+|tuon/ûz>+|tuon/ûzen(e)+|tuon/über(e)<.+|unter-tuon|ver-tuon|vol-tuon|voll-tuon|volle-tuon|wider-tuon|zer-tuon|über-tuon
270,valten,no,,no modern infinitive found in DWDS or UniMorph,be-valten|ent-valten|er-valten|valten|valten/zuo>+
271,vlièzen,no,,no modern infinitive found in DWDS or UniMorph,be-vlièzen|durh-vlièzen|ent-vlièzen|er-vlièzen|ge-vlièzen|ge-vlièzen/ûz>+|umbe-vlièzen|unter-vlièzen|ver-vlièzen|vlièzen|vlièzen/in>+|vlièzen/nider(e)+|vlièzen/nider(e)<+|vlièzen/nider(e)>+|vlièzen/zuo+|vlièzen/zuo<+|vlièzen/zuo>+|vlièzen/ûz<+|vlièzen/ûz<.+|vlièzen/ûz>+|vlièzen/über(e)>+|zer-vlièzen|über-vlièzen
361,vlîzen,no,,no modern infinitive found in DWDS or UniMorph,ge-vlîzen|ver-vlîzen|vlîzen
342,vrièsen,no,,no modern infinitive found in DWDS or UniMorph,er-vrièsen|ge-vrièsen|vrièsen|über-vrièsen
272,vëlhen,no,,no modern infinitive found in DWDS or UniMorph,be-vëlhen|ent-vëlhen|vëlhen
320,wahen,no,,no modern infinitive found in DWDS or UniMorph,ent-wahen|ge-wahen|wahen
274,winten,no,,no modern infinitive found in DWDS or UniMorph,be-winten|ent-winten|er-winten|er-winten/ane>+|umbe-winten|unter-winten|ver-winten|wider-winten|winten|winten/ane>+|winten/in>+|winten/în>+|winten/ûf+|winten/ûf<.+|winten/über(e)>+|über-winten
364,wizzen,no,,no modern infinitive found in DWDS or UniMorph,ge-wizzen|ver-wizzen|wizzen|wizzen/vor(e)>+
450,wuofen,no,,no modern infinitive found in DWDS or UniMorph,wuofen
446,wâzen,no,,no modern infinitive found in DWDS or UniMorph,ver-wâzen|wâzen
323,wërren,no,,no modern infinitive found in DWDS or UniMorph,ent-wërren|ge-wërren|unter-wërren|ver-wërren|wërren|zer-wërren
324,wësen,no,,no modern infinitive found in DWDS or UniMorph,ent-wësen|ge-wësen|ver-wësen|wësen
344,wîhen,no,,no modern infinitive found in DWDS or UniMorph,er-wîhen|wîhen
447,èischen,no,,no modern infinitive found in DWDS or UniMorph,ver-èischen|èischen|èischen/vür(e)+|èischen/wider(e)<.+
